claim_id,claim,evidence_strength,source_1,source_2,meeting_use,validation_needed
H01,"Restaurant operators are under cost/labor/traffic pressure and investing in technology for efficiency and guest connection.",High,"https://restaurant.org/research-and-media/research/research-reports/state-of-the-industry/","https://restaurant.org/research-and-media/media/press-releases/persistent-cost-increases-and-enduring-demand-will-shape-the-restaurant-industry-in-2026/","Use as market reason FineDine's category matters.","Ask FineDine which operator pain closes deals most often."
H02,"FineDine is broader than QR menu: website, ordering, payments, reservations, CRM/loyalty, campaigns, marketing.",High,"https://www.finedinemenu.com/en/","https://www.finedinemenu.com/en/ai-home-/","Use to avoid QR-only positioning.","Ask which modules FineDine wants pushed in beta."
H03,"Restaurant-tech GTM is local, consultative, and multi-channel, not email-only.",High,"https://www.sec.gov/Archives/edgar/data/1650164/000165016426000057/tost-20251231.htm","https://www.bvp.com/memos/toast","Use to frame next-best-action instead of only email generation.","Ask FineDine's channel mix and territory structure."
H04,"Sales reps spend major time outside selling, including prospecting and manual/admin work.",High,"https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/reports/sales/salesforce-state-of-sales-report-2026.pdf","https://www.salesforce.com/news/stories/state-of-sales-report-announcement-2026/","Use to support research/admin tax.","Ask FineDine actual rep time split."
H05,"SDR learning often remains tacit unless captured into systems.",Medium,"https://www.gartner.com/en/newsroom/press-releases/2026-04-01-gartner-predicts-ai-driven-sales-enablement-will-deliver-40-percent-faster-sales-stage-velocity-than-traditional-enablement-methods-by-20291","https://www.sciencedirect.com/org/science/article/pii/S0969647423000587","Use as hypothesis, not proven FineDine fact.","Ask where top-rep knowledge lives today."
H06,"CRM records activity but does not automatically explain account decision quality.",Medium-High,"https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/reports/sales/salesforce-state-of-sales-report-2026.pdf","https://www.gartner.com/en/sales/trends/sales-enablement-benchmark-report","Use in CRM objection answer.","Ask what HubSpot captures and misses."
H07,"The data/enrichment/sender stack is crowded; decision and outcome learning are less owned.",High,"https://www.openmart.com/products/local-business-data-api","https://www.clay.com/waterfall-enrichment","Use to avoid competing as data vendor.","Ask what tools FineDine already uses."
H08,"Openmart/Orbital/Resquared are upstream local-SMB/data/intelligence rails, not necessarily FineDine-specific outcome layers.",Medium-High,"https://www.openmart.com/products/local-business-data-api","https://www.withorbital.com/","Use for competitive positioning.","Confirm whether FineDine uses any of these."
H09,"Clay can build parts of the workflow, but it is a blank canvas rather than an opinionated restaurant-tech playbook.",Medium-High,"https://www.clay.com/waterfall-enrichment","https://www.openmart.com/products/local-business-data-api","Use in Clay objection.","Ask if FineDine has GTM ops capacity to maintain Clay workflows."
H10,"Buyers avoid irrelevant outreach; signal-based/contextual outreach is safer than generic AI personalization.",Medium-High,"https://www.gartner.com/en/newsroom/press-releases/2025-06-25-gartner-sales-survey-finds-61-percent-of-b2b-buyers-prefer-a-rep-free-buying-experience","https://blog.hubspot.com/sales/hubspot-sales-strategy-report","Use to justify signal-first messaging.","Ask which restaurant signals make messages credible."
H11,"US commercial email needs CAN-SPAM controls; B2B is not exempt.",High,"https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business","https://www.ftc.gov/legal-library/browse/rules/can-spam-rule","Use to position compliance-aware activation.","Counsel review for exact templates."
H12,"US SMS/AI voice/automated calls are high-risk and need consent/suppression design.",High,"https://www.fcc.gov/consumers/guides/stop-unwanted-robocalls-and-texts","https://docs.fcc.gov/public/attachments/FCC-24-24A1.pdf","Use to avoid unsafe automation promises.","Counsel review before US SMS/AI voice."
H13,"Google Places is useful for verification but not a freely storeable/resellable lead database.",High,"https://developers.google.com/maps/documentation/places/web-service/policies","https://cloud.google.com/maps-platform/terms","Use in integration/data-rights planning.","Confirm intended data provider stack."
H14,"LeadAC's best meeting frame is decision and learning layer on top of existing workflow.",Medium-High,"Internal FineDine notes and objection playbook","https://www.sec.gov/Archives/edgar/data/1650164/000165016426000057/tost-20251231.htm","Use as core category reset.","Validate that FineDine feels this problem."
