source_id,title,url,quality,use_case
S01,"National Restaurant Association State of the Restaurant Industry 2026","https://restaurant.org/research-and-media/research/research-reports/state-of-the-industry/","High","Restaurant market size, cost pressure, technology investment."
S02,"NRA 2026 press release","https://restaurant.org/research-and-media/media/press-releases/persistent-cost-increases-and-enduring-demand-will-shape-the-restaurant-industry-in-2026/","High","Public summary of 2026 restaurant pressures."
S03,"NRA Restaurant Technology Landscape 2024 overview","https://restaurant.org/education-and-resources/resource-library/new-report-examines-the-technology-landscape-in-todays-restaurants/","High","Operator and consumer tech preferences."
S04,"NRA Restaurant Technology Landscape 2024 PDF","https://go.restaurant.org/rs/078-ZLA-461/images/NatRestAssoc_TechLandscapeReport_2024.pdf","High","Specific tech investment categories."
S05,"Toast 2025 Form 10-K","https://www.sec.gov/Archives/edgar/data/1650164/000165016426000057/tost-20251231.htm","High","Restaurant-tech GTM, local sales, platform modules."
S06,"Salesforce State of Sales 2026 PDF","https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/reports/sales/salesforce-state-of-sales-report-2026.pdf","High","Rep time allocation, AI and sales productivity."
S07,"Salesforce 2026 State of Sales announcement","https://www.salesforce.com/news/stories/state-of-sales-report-announcement-2026/","High","Prospect research and email drafting time expectations."
S08,"Gartner B2B buyers prefer rep-free buying","https://www.gartner.com/en/newsroom/press-releases/2025-06-25-gartner-sales-survey-finds-61-percent-of-b2b-buyers-prefer-a-rep-free-buying-experience","High","Irrelevant outreach avoidance."
S09,"Gartner AI-driven sales enablement prediction","https://www.gartner.com/en/newsroom/press-releases/2026-04-01-gartner-predicts-ai-driven-sales-enablement-will-deliver-40-percent-faster-sales-stage-velocity-than-traditional-enablement-methods-by-20291","Medium-High","In-workflow sales enablement direction."
S10,"FineDine official site","https://www.finedinemenu.com/en/","Medium-High","FineDine module/category positioning."
S11,"FineDine AI home","https://www.finedinemenu.com/en/ai-home-/","Medium-High","FineDine AI/menu/website positioning."
S12,"Openmart local business API","https://www.openmart.com/products/local-business-data-api","Medium-High","Local SMB data rail."
S13,"Orbital SMB Account Intelligence","https://www.withorbital.com/","Medium-High","SMB account intelligence competitor."
S14,"Resquared","https://www.re2.ai/","Medium","Local business selling platform."
S15,"Clay waterfall enrichment","https://www.clay.com/waterfall-enrichment","Medium-High","Enrichment/workflow workbench."
S16,"FTC CAN-SPAM guide","https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business","High","US commercial email compliance."
S17,"FCC TCPA robocalls/texts guide","https://www.fcc.gov/consumers/guides/stop-unwanted-robocalls-and-texts","High","US phone/SMS consent and opt-out."
S18,"FCC TCPA revocation order","https://docs.fcc.gov/public/attachments/FCC-24-24A1.pdf","High","Consent revocation and suppression."
S19,"Google Places policies","https://developers.google.com/maps/documentation/places/web-service/policies","High","Places storage/display rules."
S20,"Google Maps Platform terms","https://cloud.google.com/maps-platform/terms","High","Maps/Places contractual use terms."
S21,"TouchBistro 2025 State of Restaurants press release","https://www.touchbistro.com/press-releases/2025-state-of-restaurants-report-release/","Medium","Independent restaurant operator pain."
S22,"Mailshake 2025 cold email report","https://assets.mailshake.com/wp-content/uploads/2025/04/16091740/Cold-Email-Report-2025-Mailshake.pdf","Medium","Cold email relevance/deliverability trends."
